termino,coeficiente,error_estandar,estadistico_t,p_valor,ic95_inferior,ic95_superior,VIF,decision_alpha_0.05
Intercept,14.3942,1.7053,8.441,1.4380313577816095e-15,11.0382,17.7503,,Se rechaza H0
C(sector)[T.Industrial],1.704,0.0926,18.3937,7.24423660807977e-51,1.5217,1.8863,,Se rechaza H0
C(sector)[T.Residencial],-2.0038,0.0708,-28.3096,4.320445415988498e-86,-2.1431,-1.8645,,Se rechaza H0
factor_potencia,-7.5692,1.6843,-4.4939,1.0056173862847745e-05,-10.8841,-4.2544,8.88,Se rechaza H0
antiguedad_anios,-0.0438,0.0151,-2.8972,0.0040467310312790284,-0.0735,-0.014,8.88,Se rechaza H0
