prueba,variable,grupo,n,estadistico,p_valor,decision_alpha_0.05
Shapiro-Wilk,consumo_kwh,Comercial,88,0.9431,0.0007522953436965757,Se rechaza H0
Shapiro-Wilk,log(consumo_kwh),Comercial,88,0.9863,0.4854230457553671,No se rechaza H0
Shapiro-Wilk,consumo_kwh,Industrial,57,0.8692,1.841896707594238e-05,Se rechaza H0
Shapiro-Wilk,log(consumo_kwh),Industrial,57,0.991,0.9489647914548041,No se rechaza H0
Shapiro-Wilk,consumo_kwh,Residencial,155,0.693,1.3720185391892978e-16,Se rechaza H0
Shapiro-Wilk,log(consumo_kwh),Residencial,155,0.9854,0.10345905901101476,No se rechaza H0
Levene (centrado en mediana),consumo_kwh,Residencial | Comercial | Industrial,300,96.9329,3.9479188107675805e-33,Se rechaza H0
Levene (centrado en mediana),log(consumo_kwh),Residencial | Comercial | Industrial,300,1.5678,0.2102252547654615,No se rechaza H0
