termino,coeficiente,error_estandar,estadistico_t,p_valor,ic95_inferior,ic95_superior,decision_alpha_0.05
Intercept,-0.35274,0.13946,-2.5293,0.011954025588332385,-0.62721,-0.07826,Se rechaza H0
C(sector)[T.Industrial],0.01134,0.02604,0.4356,0.6634500953900344,-0.0399,0.06259,No se rechaza H0
C(sector)[T.Residencial],-0.01584,0.0259,-0.6116,0.5412453033302587,-0.06682,0.03514,No se rechaza H0
log_potencia,0.98032,0.01404,69.8272,1.1608804835004762e-184,0.95269,1.00795,Se rechaza H0
log_horas,1.00353,0.01782,56.3298,3.143894649979461e-159,0.96846,1.03859,Se rechaza H0
temperatura_c,0.01118,0.00105,10.6242,1.619171453470689e-22,0.00911,0.01325,Se rechaza H0
factor_potencia,-1.07418,0.1033,-10.3987,9.186083842134958e-22,-1.27748,-0.87087,Se rechaza H0
