prueba,estadistico,valor,F_aprox,gl_numerador,gl_denominador,p_valor,decision_alpha_0.05
MANOVA (efecto del sector),Wilks' lambda,0.1085,200.1614,6.0,590.0,1.0907741854993565e-138,Se rechaza H0
MANOVA (efecto del sector),Pillai's trace,0.9143,83.0952,6.0,592.0,2.6989829917070575e-75,Se rechaza H0
MANOVA (efecto del sector),Hotelling-Lawley trace,8.0039,392.8641,6.0,391.6,2.8878106025030305e-162,Se rechaza H0
MANOVA (efecto del sector),Roy's greatest root,7.9775,787.1141,3.0,296.0,1.1121491388823085e-140,Se rechaza H0
