,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
log_consumo_kwh,0.9934,-0.0506,0.0314,0.084,-0.0648,-0.011,-0.0213,-0.0279,0.0175
log_costo_miles_cop,0.9927,-0.0493,0.0285,0.0843,-0.0714,-0.0102,-0.0225,-0.0391,-0.0149
log_area_m2,0.9701,-0.0461,-0.0348,-0.1742,0.0367,0.0646,0.1518,-0.0036,0.0
log_potencia_instalada_kw,0.9722,-0.0673,-0.0563,-0.1576,-0.1485,-0.0032,-0.0401,0.0445,-0.0013
log_num_equipos,0.9573,-0.0509,-0.0629,-0.1996,0.1785,-0.0155,-0.092,-0.0019,-0.0002
log_horas_operacion,0.9059,-0.1077,0.1479,0.3763,0.0794,-0.0051,0.0203,0.0309,-0.0012
factor_potencia,-0.2273,-0.9245,0.266,-0.0087,-0.0061,0.1569,-0.0396,-0.0019,0.0001
antiguedad_anios,0.1078,0.9466,-0.2527,0.0822,-0.001,0.1539,-0.0359,0.0006,0.0001
interrupciones_mes,0.0614,0.7067,0.7011,-0.0929,-0.0031,-0.0005,-0.0043,0.0005,-0.0001
